Reporting Period,ID RSSD,UBPR2746
3/31/2021 11:59:59 PM,37,0
3/31/2021 11:59:59 PM,242,0
3/31/2021 11:59:59 PM,279,0
3/31/2021 11:59:59 PM,354,0
3/31/2021 11:59:59 PM,457,0
3/31/2021 11:59:59 PM,505,1385
3/31/2021 11:59:59 PM,1155,0
3/31/2021 11:59:59 PM,1351,0
3/31/2021 11:59:59 PM,1454,8520
3/31/2021 11:59:59 PM,1669,0
3/31/2021 11:59:59 PM,1856,0
3/31/2021 11:59:59 PM,2161,0
3/31/2021 11:59:59 PM,2732,10599
3/31/2021 11:59:59 PM,2750,0
3/31/2021 11:59:59 PM,3252,0
3/31/2021 11:59:59 PM,3458,0
3/31/2021 11:59:59 PM,3720,96
3/31/2021 11:59:59 PM,3971,3883
3/31/2021 11:59:59 PM,4156,0
3/31/2021 11:59:59 PM,4231,0
3/31/2021 11:59:59 PM,5069,0
3/31/2021 11:59:59 PM,5135,0
3/31/2021 11:59:59 PM,5210,0
3/31/2021 11:59:59 PM,5461,9892
3/31/2021 11:59:59 PM,5751,0
3/31/2021 11:59:59 PM,6039,0
3/31/2021 11:59:59 PM,6329,0
3/31/2021 11:59:59 PM,7009,0
3/31/2021 11:59:59 PM,7045,0
3/31/2021 11:59:59 PM,7072,5
3/31/2021 11:59:59 PM,7456,0
3/31/2021 11:59:59 PM,7634,0
3/31/2021 11:59:59 PM,8033,0
3/31/2021 11:59:59 PM,8462,0
3/31/2021 11:59:59 PM,8631,0
3/31/2021 11:59:59 PM,9357,0
3/31/2021 11:59:59 PM,9553,0
3/31/2021 11:59:59 PM,9807,0
3/31/2021 11:59:59 PM,9955,0
3/31/2021 11:59:59 PM,10250,0
3/31/2021 11:59:59 PM,10849,0
3/31/2021 11:59:59 PM,11145,0
3/31/2021 11:59:59 PM,11640,0
3/31/2021 11:59:59 PM,11837,0
3/31/2021 11:59:59 PM,12030,0
3/31/2021 11:59:59 PM,12142,0
3/31/2021 11:59:59 PM,12311,363873
3/31/2021 11:59:59 PM,12647,0
3/31/2021 11:59:59 PM,12656,0
3/31/2021 11:59:59 PM,12946,0
3/31/2021 11:59:59 PM,13103,0
3/31/2021 11:59:59 PM,13251,0
3/31/2021 11:59:59 PM,13457,0
3/31/2021 11:59:59 PM,14155,12432
3/31/2021 11:59:59 PM,14650,0
3/31/2021 11:59:59 PM,14753,0
3/31/2021 11:59:59 PM,14865,0
3/31/2021 11:59:59 PM,14977,0
3/31/2021 11:59:59 PM,16551,0
3/31/2021 11:59:59 PM,17110,0
3/31/2021 11:59:59 PM,17147,0
3/31/2021 11:59:59 PM,17259,0
3/31/2021 11:59:59 PM,17950,87
3/31/2021 11:59:59 PM,17978,0
3/31/2021 11:59:59 PM,18050,780
3/31/2021 11:59:59 PM,18827,0
3/31/2021 11:59:59 PM,18836,0
3/31/2021 11:59:59 PM,18854,0
3/31/2021 11:59:59 PM,19356,102
3/31/2021 11:59:59 PM,19936,0
3/31/2021 11:59:59 PM,19972,0
3/31/2021 11:59:59 PM,20053,0
